1550524162.627333053, exp1 ok mode
1550524163.130398225, face tracking, on
1550524165.633367134, reeti turn to, 1
1550524166.133454873, 1, u
1550524167.823224513, user pressed u
1550524168.328900556, face tracking, on
1550524170.831368820, reeti turn to, 1
1550524171.331475970, 1, v
1550524173.665934759, user pressed v
1550524174.171736905, face tracking, on
1550524176.674750787, reeti turn to, 0
1550524177.174870732, 0, u
1550524178.837621711, user pressed u
1550524179.343278155, face tracking, on
1550524181.846058223, reeti turn to, 0
1550524182.346166816, 0, v
1550524183.982844433, user pressed v
1550524184.488958265, face tracking, on
1550524186.991795687, reeti turn to, 0
1550524187.491898562, 0, v
1550524189.265472574, user pressed v
1550524189.770751027, face tracking, on
1550524192.274841501, reeti turn to, 1
1550524192.775026398, 1, u
1550524194.447345195, user pressed u
1550524194.952291294, face tracking, on
1550524197.455251271, reeti turn to, 1
1550524197.955375305, 1, v
1550524199.793959436, user pressed v
1550524200.300153921, face tracking, on
1550524202.803201601, reeti turn to, 0
1550524203.303257008, 0, u
1550524204.899314143, user pressed u
1550524205.406405745, face tracking, on
1550524207.909178320, reeti turn to, 0
1550524208.409307166, 0, v
1550524210.240300948, user pressed v
1550524210.749024306, face tracking, on
1550524213.252351421, reeti turn to, 1
1550524213.752448766, 1, v
1550524215.473222480, user pressed v
1550524225.193898517, exp1 d mode
1550524225.697386838, face tracking, on
1550524228.202408299, reeti turn to, 1
1550524228.702606205, 1, v
1550524230.662434946, user pressed v
1550524231.168732697, face tracking, on
1550524233.671402474, reeti turn to, 0
1550524234.171527539, 1, u
1550524235.991015243, user pressed v
1550524236.496358461, face tracking, on
1550524238.999030846, reeti turn to, 0
1550524239.499149666, 1, u
1550524241.232700351, user pressed u
1550524241.738250505, face tracking, on
1550524244.241160032, reeti turn to, 0
1550524244.741284743, 1, v
1550524246.389062782, user pressed v
1550524246.894256642, face tracking, on
1550524249.397213891, reeti turn to, 0
1550524249.897327809, 0, v
1550524251.584228937, user pressed v
1550524252.089858453, face tracking, on
1550524254.592800176, reeti turn to, 0
1550524255.092857438, 1, u
1550524256.892068384, user pressed u
1550524257.397705875, face tracking, on
1550524259.900583854, reeti turn to, 1
1550524260.400656167, 0, v
1550524262.144123438, user pressed v
1550524262.649334745, face tracking, on
1550524265.152098836, reeti turn to, 1
1550524265.652212482, 0, u
1550524267.310566665, user pressed u
1550524267.815969347, face tracking, on
1550524270.319320495, reeti turn to, 0
1550524270.819441079, 1, v
1550524272.435412483, user pressed v
1550524272.943919514, face tracking, on
1550524275.447261157, reeti turn to, 1
1550524275.947399916, 0, u
1550524277.629176444, user pressed u
