1550697297.798506734, exp1 ok mode
1550697298.301739639, face_tracking, on
1550697301.805473420, reeti turn to, 0
1550697302.305591437, 0, v
1550697302.358453185, show, v, on, 0
1550697303.320823244, user pressed, v,
1550697304.827500438, face_tracking, on
1550697308.330557339, reeti turn to, 0
1550697308.830677270, 0, v
1550697308.908016782, show, v, on, 0
1550697309.957473036, user pressed, v,
1550697311.465628670, face_tracking, on
1550697314.969248665, reeti turn to, 1
1550697315.469392388, 1, v
1550697315.557343911, show, v, on, 1
1550697316.558381878, user pressed, v,
1550697318.066719396, face_tracking, on
1550697321.570140662, reeti turn to, 0
1550697322.070321537, 0, u
1550697322.157862937, show, u,on, 0
1550697323.066781136, user pressed, u
1550697324.573628088, face_tracking, on
1550697328.082231238, reeti turn to, 1
1550697328.582389849, 1, u
1550697328.658404665, show, u,on, 1
1550697329.547674114, user pressed, u
1550697331.053832518, face_tracking, on
1550697334.557243506, reeti turn to, 0
1550697335.057397316, 0, u
1550697335.157483241, show, u,on, 0
1550697335.873594709, user pressed, u
1550697337.385281181, face_tracking, on
1550697340.888953457, reeti turn to, 0
1550697341.389065268, 0, v
1550697341.457780175, show, v, on, 0
1550697342.455579582, user pressed, v,
1550697343.963750217, face_tracking, on
1550697347.467948793, reeti turn to, 0
1550697347.968093734, 0, u
1550697348.057363200, show, u,on, 0
1550697349.042152571, user pressed, u
1550697350.551786633, face_tracking, on
1550697354.054948608, reeti turn to, 1
1550697354.555042582, 1, v
1550697354.608113876, show, v, on, 1
1550697355.313956707, user pressed, v,
1550697356.821152483, face_tracking, on
1550697360.324145933, reeti turn to, 0
1550697360.824284834, 0, u
1550697360.907719599, show, u,on, 0
1550697362.132696540, user pressed, u
1550697411.750902061, exp1 f mode
1550697412.254000627, face_tracking, off
1550697415.757922309, reeti turn to, 0
1550697416.258021569, 0, u
1550697416.358129432, show, u,on, 0
1550697417.266809857, user pressed, u
1550697418.773630615, face_tracking, off
1550697422.282026104, reeti turn to, 0
1550697422.782162103, 1, v
1550697422.860157196, show, v, on, 1
1550697423.476919108, user pressed, v,
1550697424.985342508, face_tracking, off
1550697428.487910504, reeti turn to, 1
1550697428.988031958, 0, v
1550697429.058388127, show, v, on, 0
1550697429.797346218, user pressed, v,
1550697431.302080337, face_tracking, off
1550697434.805450298, reeti turn to, 0
1550697435.305623473, 0, u
1550697435.358461108, show, u,on, 0
1550697436.463231630, user pressed, u
1550697437.970162467, face_tracking, off
1550697441.473767479, reeti turn to, 1
1550697441.973993864, 0, u
1550697442.058402222, show, u,on, 0
1550697443.200255806, user pressed, u
1550697444.705621559, face_tracking, off
1550697448.215127909, reeti turn to, 0
1550697448.715442473, 0, v
1550697448.808056469, show, v, on, 0
1550697449.529597126, user pressed, v,
1550697451.035375449, face_tracking, off
1550697454.538233090, reeti turn to, 1
1550697455.038372331, 1, v
1550697455.108320326, show, v, on, 1
1550697456.203304620, user pressed, v,
1550697457.715497173, face_tracking, off
1550697461.219741817, reeti turn to, 0
1550697461.719840081, 1, v
1550697461.808544051, show, v, on, 1
1550697462.605689152, user pressed, v,
1550697464.121200511, face_tracking, off
1550697467.624266727, reeti turn to, 0
1550697468.124442652, 1, v
1550697468.210373287, show, v, on, 1
1550697468.899027944, user pressed, v,
1550697470.404967102, face_tracking, off
1550697473.914682005, reeti turn to, 1
1550697474.414935125, 1, u
1550697474.508657949, show, u,on, 1
1550697475.623901815, user pressed, u
1550697497.872369476, exp1 d mode
1550697498.381988618, face_tracking, on
1550697501.885140061, reeti turn to, 0
1550697502.385281040, 1, u
1550697502.459729705, show, u,on, 1
1550697503.198239972, user pressed, u
1550697504.704419350, face_tracking, on
1550697508.209904849, reeti turn to, 1
1550697508.710127504, 0, v
1550697508.808524006, show, v, on, 0
1550697509.630505740, user pressed, v,
1550697511.136231112, face_tracking, on
1550697514.639648853, reeti turn to, 1
1550697515.139777888, 1, v
1550697515.208104211, show, v, on, 1
1550697515.995089016, user pressed, v,
1550697517.501049556, face_tracking, on
1550697521.004630315, reeti turn to, 1
1550697521.504788284, 1, u
1550697521.558139667, show, u,on, 1
1550697522.598429245, user pressed, u
1550697524.103864870, face_tracking, on
1550697527.608465274, reeti turn to, 0
1550697528.108571390, 1, v
1550697528.208269744, show, v, on, 1
1550697529.105956922, user pressed, v,
1550697530.618901613, face_tracking, on
1550697534.121980955, reeti turn to, 0
1550697534.622111544, 1, v
1550697534.707765452, show, v, on, 1
1550697535.534034354, user pressed, v,
1550697537.039449622, face_tracking, on
1550697540.548511652, reeti turn to, 0
1550697541.048589377, 0, u
1550697541.108926449, show, u,on, 0
1550697541.961202783, user pressed, u
1550697543.469831973, face_tracking, on
1550697546.973008150, reeti turn to, 1
1550697547.473166728, 0, u
1550697547.558029396, show, u,on, 0
1550697548.668374374, user pressed, u
1550697550.176510997, face_tracking, on
1550697553.682796138, reeti turn to, 0
1550697554.182916125, 0, v
1550697554.257637708, show, v, on, 0
1550697555.519612953, user pressed, v,
1550697557.025643554, face_tracking, on
1550697560.528368982, reeti turn to, 1
1550697561.028493286, 1, u
1550697561.107863741, show, u,on, 1
1550697561.738619042, user pressed, u
1550697583.850069910, exp1 d mode
1550697584.352951536, face_tracking, on
1550697587.856025532, reeti turn to, 0
1550697588.356157462, 0, u
1550697588.458236797, show, u,on, 0
1550697588.990411685, user pressed, u
1550697590.495786473, face_tracking, on
1550697593.998768567, reeti turn to, 1
1550697594.498888423, 1, v
1550697594.558012504, show, v, on, 1
1550697595.375496434, user pressed, v,
1550697596.884653254, face_tracking, on
1550697600.387118077, reeti turn to, 1
1550697600.887190107, 0, v
1550697600.957426906, show, v, on, 0
1550697601.746308946, user pressed, v,
1550697603.252563528, face_tracking, on
1550697606.756323789, reeti turn to, 0
1550697607.256464265, 0, u
1550697607.357726333, show, u,on, 0
1550697608.208485154, user pressed, u
1550697609.720071356, face_tracking, on
1550697613.223407229, reeti turn to, 0
1550697613.723562511, 1, u
1550697613.809390473, show, u,on, 1
1550697614.577744904, user pressed, u
1550697616.086326345, face_tracking, on
1550697619.589268480, reeti turn to, 1
1550697620.089393226, 1, v
1550697620.157902078, show, v, on, 1
1550697620.966012638, user pressed, v,
1550697622.472070509, face_tracking, on
1550697625.981944674, reeti turn to, 0
1550697626.482061140, 0, u
1550697626.557709145, show, u,on, 0
1550697627.094311238, user pressed, u
1550697628.600134606, face_tracking, on
1550697632.102883679, reeti turn to, 0
1550697632.603047700, 1, u
1550697632.657574797, show, u,on, 1
1550697633.286848664, user pressed, u
1550697634.792341514, face_tracking, on
1550697638.294957680, reeti turn to, 1
1550697638.795093485, 0, u
1550697638.857305783, show, u,on, 0
1550697639.543971734, user pressed, u
1550697641.051826048, face_tracking, on
1550697644.554587395, reeti turn to, 0
1550697645.054733364, 0, u
1550697645.107757400, show, u,on, 0
1550697645.610427356, user pressed, u
1550697667.564013060, exp1 f mode
1550697668.068616227, face_tracking, off
1550697671.572612098, reeti turn to, 0
1550697672.072814506, 0, v
1550697672.157648363, show, v, on, 0
1550697672.955311341, user pressed, v,
1550697674.462347621, face_tracking, off
1550697677.968045971, reeti turn to, 1
1550697678.468247556, 1, v
1550697678.559239218, show, v, on, 1
1550697679.348664268, user pressed, v,
1550697680.854881926, face_tracking, off
1550697684.358360898, reeti turn to, 1
1550697684.858501320, 0, u
1550697684.958387822, show, u,on, 0
1550697685.587371288, user pressed, u
1550697687.093272471, face_tracking, off
1550697690.596187989, reeti turn to, 0
1550697691.096265689, 1, v
1550697691.157716344, show, v, on, 1
1550697691.965654917, user pressed, v,
1550697693.471704043, face_tracking, off
1550697696.980280220, reeti turn to, 0
1550697697.480410779, 0, v
1550697697.557671057, show, v, on, 0
1550697698.354742503, user pressed, v,
1550697699.867996680, face_tracking, off
1550697703.371531566, reeti turn to, 1
1550697703.871995528, 1, v
1550697703.958833851, show, v, on, 1
1550697704.842125524, user pressed, v,
1550697706.351550126, face_tracking, off
1550697709.854556966, reeti turn to, 1
1550697710.354704918, 1, u
1550697710.407811967, show, u,on, 1
1550697711.314645631, user pressed, u
1550697712.820848251, face_tracking, off
1550697716.324474958, reeti turn to, 0
1550697716.824643764, 0, v
1550697716.907723433, show, v, on, 0
1550697717.974012860, user pressed, v,
1550697719.485717347, face_tracking, off
1550697722.988462501, reeti turn to, 0
1550697723.488609299, 1, u
1550697723.558295446, show, u,on, 1
1550697724.299138725, user pressed, u
1550697725.811258325, face_tracking, off
1550697729.316175365, reeti turn to, 1
1550697729.816334078, 1, v
1550697729.908032376, show, v, on, 1
1550697730.837428042, user pressed, v,
